year,age,sex,notifications
2012,NA,Male,5
2013,00-04,Female,1493
2013,00-04,Male,1738
2013,00-04,Other/unknown,5
2013,05-09,Female,1383
2013,05-09,Male,1699
2013,05-09,Other/unknown,4
2013,10-14,Female,748
2013,10-14,Male,920
2013,10-14,Other/unknown,2
2013,15-19,Female,613
2013,15-19,Male,553
2013,15-19,Other/unknown,4
2013,20-24,Female,642
2013,20-24,Male,427
2013,25-29,Female,855
2013,25-29,Male,527
2013,25-29,Other/unknown,2
2013,30-34,Female,1219
2013,30-34,Male,759
2013,30-34,Other/unknown,2
2013,35-39,Female,1254
2013,35-39,Male,894
2013,35-39,Other/unknown,3
2013,40-44,Female,1233
2013,40-44,Male,924
2013,40-44,Other/unknown,2
2013,45-49,Female,941
2013,45-49,Male,781
2013,45-49,Other/unknown,2
2013,50-54,Female,925
2013,50-54,Male,760
2013,55-59,Female,948
2013,55-59,Male,736
2013,55-59,Other/unknown,1
2013,60-64,Female,766
2013,60-64,Male,606
2013,60-64,Other/unknown,1
2013,65-69,Female,570
2013,65-69,Male,538
2013,70-74,Female,395
2013,70-74,Male,413
2013,70-74,Other/unknown,1
2013,75-79,Female,348
2013,75-79,Male,345
2013,80-84,Female,286
2013,80-84,Male,301
2013,85+,Female,359
2013,85+,Male,264
2013,85+,Other/unknown,3
2013,NA,Male,1
2014,00-04,Female,3950
2014,00-04,Male,4448
2014,00-04,Other/unknown,5
2014,05-09,Female,2582
2014,05-09,Male,2931
2014,05-09,Other/unknown,6
2014,10-14,Female,1442
2014,10-14,Male,1772
2014,10-14,Other/unknown,5
2014,15-19,Female,1689
2014,15-19,Male,1630
2014,15-19,Other/unknown,3
2014,20-24,Female,1709
2014,20-24,Male,1249
2014,20-24,Other/unknown,4
2014,25-29,Female,2304
2014,25-29,Male,1378
2014,30-34,Female,2829
2014,30-34,Male,1901
2014,30-34,Other/unknown,12
2014,35-39,Female,2761
2014,35-39,Male,2107
2014,35-39,Other/unknown,7
2014,40-44,Female,2696
2014,40-44,Male,2139
2014,40-44,Other/unknown,1
2014,45-49,Female,2147
2014,45-49,Male,1889
2014,45-49,Other/unknown,1
2014,50-54,Female,2117
2014,50-54,Male,1634
2014,50-54,Other/unknown,1
2014,55-59,Female,2103
2014,55-59,Male,1620
2014,55-59,Other/unknown,1
2014,60-64,Female,1878
2014,60-64,Male,1431
2014,60-64,Other/unknown,4
2014,65-69,Female,1512
2014,65-69,Male,1245
2014,65-69,Other/unknown,1
2014,70-74,Female,1080
2014,70-74,Male,984
2014,70-74,Other/unknown,1
2014,75-79,Female,1062
2014,75-79,Male,996
2014,75-79,Other/unknown,3
2014,80-84,Female,1051
2014,80-84,Male,841
2014,85+,Female,1550
2014,85+,Male,938
2014,85+,Other/unknown,5
2014,NA,Female,7
2014,NA,Male,2
2015,00-04,Female,5029
2015,00-04,Male,5934
2015,00-04,Other/unknown,12
2015,05-09,Female,6415
2015,05-09,Male,7332
2015,05-09,Other/unknown,15
2015,10-14,Female,3747
2015,10-14,Male,4232
2015,10-14,Other/unknown,10
2015,15-19,Female,3292
2015,15-19,Male,3265
2015,15-19,Other/unknown,6
2015,20-24,Female,2584
2015,20-24,Male,2164
2015,20-24,Other/unknown,8
2015,25-29,Female,3215
